title,year,bond_actor,director,income_usa_actual,income_usa_adjusted,budget_actual,budget_adjusted
Dr. No,1962,Sean Connery,Terence Young,59.5,722.6,1.1,1.1
From Russia with Love,1963,Sean Connery,Terence Young,78.9,875.5,2.0,2.0
Goldfinger,1964,Sean Connery,Guy Hamilton,124.9,1320.8,3.0,3.0
Thunderball,1965,Sean Connery,Terence Young,141.2,1365.4,6.8,6.8
You Only Live Twice,1967,Sean Connery,Lewis Gilbert,111.6,827.9,10.3,10.3
On Her Majesty's Secret Service,1969,George Lazenby,Peter R. Hunt,64.6,469.3,7.0,7.0
Diamonds Are Forever,1971,Sean Connery,Guy Hamilton,116.0,712.4,7.2,7.2
Live and Let Die,1973,Roger Moore,Guy Hamilton,126.4,741.1,7.0,7.0
The Man with the Golden Gun,1974,Roger Moore,Guy Hamilton,97.6,537.7,7.0,7.0
The Spy Who Loved Me,1977,Roger Moore,Lewis Gilbert,185.4,858.1,14.0,14.0
Moonraker,1979,Roger Moore,Lewis Gilbert,210.3,861.3,34.0,34.0
For Your Eyes Only,1981,Roger Moore,John Glen,194.9,723.5,28.0,28.0
Octopussy,1983,Roger Moore,John Glen,183.7,601.8,27.5,27.5
A View to a Kill,1985,Roger Moore,John Glen,152.4,443.1,30.0,30.0
The Living Daylights,1987,Timothy Dalton,John Glen,191.2,504.7,40.0,40.0
Licence to Kill,1989,Timothy Dalton,John Glen,156.2,403.9,36.0,36.0
GoldenEye,1995,Pierce Brosnan,Martin Campbell,352.0,834.8,60.0,60.0
Tomorrow Never Dies,1997,Pierce Brosnan,Roger Spottiswoode,333.0,745.7,110.0,110.0
The World Is Not Enough,1999,Pierce Brosnan,Michael Apted,361.8,707.6,135.0,135.0
Die Another Day,2002,Pierce Brosnan,Lee Tamahori,432.0,749.3,142.0,142.0
Casino Royale,2006,Daniel Craig,Martin Campbell,606.0,949.2,150.0,150.0
Quantum of Solace,2008,Daniel Craig,Marc Forster,586.1,827.9,200.0,200.0
Skyfall,2012,Daniel Craig,Sam Mendes,1108.6,1518.4,,
Spectre,2015,Daniel Craig,Sam Mendes,880.7,1168.3,,
No Time to Die,2021,Daniel Craig,Cary Joji Fukunaga,771.2,894.9,,
